,ALLGRADEX,SEGRADES,CENREG,EDCPUB,EDCCAT,EDCREL,EDCPRI,EDCINTK12,EDCHSFL,DISTASSI,SCHRTSCHL,SCHLMAGNET,SEENJOY,SEABSNT,FCSCHOOL,FCTEACHR,FCSTDS,FHHOME,FHWKHRS,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,HHENGLISH,CSPEAKX,HHTOTALXX,HHPRTNRSX,P1REL,P1SEX,P1AGE,P2AGE,P2REL,P2SEX,P2MRSTA,PAR1EMPL,PAR1FTFY,PAR2FTFY,NUMSIBSX,TTLHHINC,OWNRNTHB,HVINTSPHO,HVINTCOM,INTACC,CHLDNT,LRNCOMP,LRNTAB,LRNCELL
4313,10,1,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,3.0,0.0,1,1,49,49,1,2,1,1,1,1,0,9,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4314,15,1,4,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,1,1,1,4,6,2,2,2,2,2,2,2,7,2,2,2,2,2,2,1,2,4.0,0.0,1,1,44,45,1,2,1,1,1,1,1,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4315,9,1,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1,1,1,1,1,2,14,1,2,2,2,1,1,2,4,2,1,2,2,2,1,1,2,3.0,0.0,1,2,51,45,1,1,1,1,1,2,0,9,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0
4316,8,2,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,2,2,1,2,5,1,1,1,1,1,1,2,5,2,2,1,2,2,2,2,4,6.0,0.0,1,2,38,41,1,1,1,1,1,2,1,9,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0
4317,7,1,4,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1,2,1,1,1,2,3,1,1,1,1,1,1,1,6,2,2,1,2,2,1,1,2,6.0,0.0,1,1,47,44,1,2,1,1,1,2,2,9,1,1.0,1.0,1.0,3.0,2.0,1.0,2.0
4318,5,1,4,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,2,2,4,3,2,1,2,1,1,1,2,7,2,2,1,2,2,2,1,2,4.0,0.0,1,2,36,38,1,1,1,2,2,1,1,7,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0
4319,3,2,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,2,2,2,2,2,1,1,1,1,2,2,7,2,1,2,2,1,1,1,2,4.0,0.0,1,1,36,35,1,2,1,1,1,1,1,8,1,1.0,1.0,1.0,3.0,2.0,1.0,2.0
4320,5,1,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1,1,1,1,1,4,18,1,1,1,1,1,1,2,7,1,1,2,1,2,1,1,2,6.0,0.0,1,1,34,39,1,2,1,1,1,3,1,8,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0
4321,7,2,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,2,2,4,5,2,2,1,2,1,1,1,4,2,1,2,2,2,2,2,6,5.0,0.0,1,2,35,39,1,1,5,2,2,2,1,5,1,1.0,1.0,1.0,1.0,1.0,2.0,2.0
4322,10,1,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,1,1,2,1,2,2,2,2,2,1,1,2,0,2,2,2,2,2,1,1,2,5.0,0.0,1,2,49,49,1,1,1,1,1,3,2,3,1,1.0,1.0,1.0,2.0,1.0,2.0,2.0
4323,11,3,4,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2,2.0,4,2,1,1,1,4,5,2,1,2,1,1,1,1,6,1,2,2,2,1,1,2,3,5.0,0.0,1,2,48,54,1,1,1,4,3,1,2,4,1,1.0,2.0,3.0,2.0,1.0,2.0,1.0
4324,10,2,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,1.0,2,1,1,2,1,2,4,1,1,2,2,1,1,1,5,2,1,2,2,2,2,1,2,4.0,0.0,1,2,45,43,1,1,1,2,2,1,1,9,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4325,14,2,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,3,2,3,2,4,2,2,1,1,1,1,1,4,2,1,2,2,2,2,1,2,4.0,0.0,1,1,36,36,3,2,5,1,1,1,1,2,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0
