BASMID,SEGRADES,CENREG,EDCPUB,EDCCAT,EDCREL,EDCPRI,EDCINTK12,EDCHSFL,DISTASSI,SCHRTSCHL,SCHLMAGNET,SEENJOY,SEABSNT,FCSCHOOL,FCTEACHR,FCSTDS,FHHOME,FHWKHRS,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,HHENGLISH,CSPEAKX,HHTOTALXX,HHPRTNRSX,P1REL,P1SEX,P1AGE,P2REL,P2SEX,P2MRSTA,PAR1EMPL,PAR1FTFY,PAR1MARST,PAR2FTFY,PAR2MARST,NUMSIBSX,TTLHHINC,OWNRNTHB,HVINTSPHO,HVINTCOM,INTACC,CHLDNT,LRNCOMP,LRNTAB,LRNCELL
20191000606,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,4,12,2,1,1,1,1,2,1,7,1,1,2,2,2,1,2,2,4,0,1,1,65,1,2,1,1,1,1,1,1,1,7,2,1,1,1,2,1,1,2
20191000620,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,4,5,1,2,1,2,1,1,2,4,2,2,1,2,2,2,1,2,3,0,1,2,38,1,1,1,2,2,1,1,1,0,7,2,1,1,1,2,1,2,1
20191000685,1,3,1,2,2,2,2,2,1,2,2,2,1,1,1,1,4,12,1,2,2,2,1,1,1,5,2,2,2,2,2,2,1,2,3,0,1,2,56,1,1,1,1,1,1,1,1,0,12,1,1,1,1,1,1,1,1
20191000695,1,3,1,2,2,2,2,2,2,2,2,1,3,1,1,1,2,2,1,1,1,1,1,1,2,7,1,1,2,2,2,1,1,2,3,0,1,2,32,1,1,1,2,2,1,1,1,0,8,1,1,1,1,1,1,1,2
20191000728,2,4,1,2,2,2,2,2,1,2,2,2,1,2,3,3,1,3,1,2,2,1,2,2,2,4,2,2,2,2,2,1,1,2,3,0,1,2,45,1,1,1,1,1,1,1,1,0,10,1,1,1,1,1,1,2,1
20191000765,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,4,10,1,2,2,2,1,1,1,7,2,1,2,2,2,1,1,2,5,0,1,2,52,1,1,1,4,3,1,1,1,2,8,1,1,1,1,1,1,2,2
20191000801,5,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,4,4,1,1,1,1,1,1,2,7,2,1,2,1,1,2,1,2,4,0,1,2,32,1,1,1,1,1,1,1,1,1,9,1,1,1,1,2,1,1,1
20191000827,3,1,1,2,2,2,2,2,1,2,2,3,4,4,3,4,4,8,1,1,1,2,1,1,2,5,2,2,2,1,1,1,1,4,4,0,1,1,58,1,2,1,4,3,1,1,1,1,9,1,1,1,1,1,1,1,2
20191000849,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,4,7,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,6,0,2,1,41,3,2,3,1,1,2,2,2,3,9,1,1,1,1,1,1,1,1
20191000870,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,4,8,2,2,2,1,1,2,2,5,2,2,1,2,1,2,1,2,4,0,1,1,53,1,2,1,1,1,1,1,1,1,9,1,1,1,1,2,1,1,1
20191000873,1,4,1,2,2,2,2,2,1,2,2,2,1,2,2,3,4,10,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,4,0,1,1,62,1,2,1,1,1,1,1,1,1,9,1,1,1,1,1,1,2,2
20191000878,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,4,20,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,3,0,1,2,56,1,1,1,4,3,1,2,1,0,8,1,1,1,1,1,1,1,1
